bias_v,h1_mag_v,h1_signed_v,h2_mag_v,h2_signed_v,dc_v
-9.95,0.169457,0.127871,0.015056,0.002561,0.783195
-9.85,0.226523,0.17067,0.004983,0.000108,0.819185
-9.75,0.226514,0.170936,0.002839,2e-06,0.846785
-9.65,0.214085,0.161686,0.000828,-0.000261,0.870978
-9.55,0.201745,0.152384,0.003901,6.2e-05,0.893601
-9.45,0.197246,0.148996,0.002396,-1e-06,0.916008
-9.35,0.182097,0.137612,0.000917,-0.000194,0.937422
-9.25,0.1705,0.128762,0.004124,0.000127,0.957766
-9.15,0.16174,0.122159,0.00222,9.8e-05,0.97691
-9.05,0.145206,0.109671,0.001676,-7.5e-05,0.994753
-8.95,0.133579,0.100827,0.003328,0.000206,1.01108
-8.85,0.121101,0.091507,0.001868,8.8e-05,1.026298
-8.75,0.104613,0.078955,0.002319,3.5e-05,1.040175
-8.65,0.092098,0.069467,0.002649,0.000179,1.052652
-8.55,0.07665,0.057782,0.001623,0.000159,1.063587
-8.45,0.060906,0.045922,0.002385,0.000154,1.072784
-8.35,0.046812,0.035261,0.00214,0.000247,1.080422
-8.25,0.030597,0.02305,0.001585,0.000219,1.086524
-8.15,0.015147,0.011382,0.00197,0.000277,1.090879
-8.05,0.000418,-0.000381,0.001842,0.000315,1.093554
-7.95,0.0159,-0.01211,0.001783,0.000293,1.094315
-7.85,0.031739,-0.024073,0.001252,0.000275,1.093457
-7.75,0.047871,-0.036236,0.001508,0.000338,1.090745
-7.65,0.061775,-0.04668,0.001482,0.000407,1.086069
-7.55,0.078698,-0.059511,0.000889,0.000343,1.079733
-7.45,0.093563,-0.070815,0.001507,0.00041,1.071637
-7.35,0.10595,-0.080128,0.00074,0.0004,1.062256
-7.25,0.123729,-0.093613,0.000785,0.000374,1.051582
-7.15,0.135798,-0.102842,0.001811,0.000425,1.038977
-7.05,0.147493,-0.111598,0.000599,0.000401,1.024645
-6.95,0.165045,-0.124901,0.000604,0.000398,1.008617
-6.85,0.173838,-0.131723,0.001768,0.000524,0.991512
-6.75,0.185572,-0.140571,0.001482,0.00032,0.973073
-6.65,0.201338,-0.152497,0.000511,0.000409,0.953179
-6.55,0.207033,-0.156932,0.001027,0.000618,0.932364
-6.45,0.219631,-0.166384,0.001801,0.000265,0.909965
-6.35,0.231424,-0.175459,0.00064,0.000438,0.886595
-6.25,0.234868,-0.178059,0.000887,0.000528,0.862112
-6.15,0.247304,-0.18748,0.001554,0.000353,0.836554
-6.05,0.252759,-0.191754,0.001205,0.000526,0.810208
-5.95,0.256126,-0.194228,0.002443,0.000447,0.783142
-5.85,0.267651,-0.202956,0.001597,0.000331,0.755225
-5.75,0.266982,-0.202557,0.001197,0.000598,0.726645
-5.65,0.270197,-0.204941,0.004564,0.000218,0.697495
-5.55,0.277096,-0.210234,0.0037,-3.6e-05,0.6678
-5.45,0.270178,-0.20501,0.002697,3.4e-05,0.637707
-5.35,0.273526,-0.207406,0.008079,-0.000499,0.607386
-5.25,0.275234,-0.208824,0.007093,-0.000616,0.57686
-5.15,0.266143,-0.201976,0.007005,-0.000477,0.546126
-5.05,0.269917,-0.204656,0.010106,-0.00103,0.515206
-4.95,0.267508,-0.203024,0.007186,-0.000681,0.484137
-4.85,0.259237,-0.196737,0.008131,-0.000612,0.453814
-4.75,0.261436,-0.198323,0.0086,-0.000892,0.424035
-4.65,0.25275,-0.191922,0.005913,-0.000688,0.394625
-4.55,0.244806,-0.185752,0.008944,-0.000717,0.365579
-4.45,0.245937,-0.186641,0.006688,-0.000614,0.337036
-4.35,0.234275,-0.177886,0.003633,-0.000281,0.309111
-4.25,0.227912,-0.172902,0.006134,-0.000331,0.281862
-4.15,0.224871,-0.170658,0.002875,-0.000127,0.25544
-4.05,0.210276,-0.159621,0.001485,0.000211,0.229963
-3.95,0.202208,-0.153403,0.003679,-7.7e-05,0.205411
-3.85,0.192743,-0.146288,0.001714,1.9e-05,0.181946
-3.75,0.176728,-0.134115,0.002552,7.2e-05,0.159568
-3.65,0.16753,-0.127043,0.002936,-0.000133,0.138363
-3.55,0.153248,-0.116277,0.001269,-2e-05,0.118504
-3.45,0.137824,-0.1045,0.00323,-6.4e-05,0.099991
-3.35,0.126743,-0.096081,0.002535,-0.00015,0.08289
-3.25,0.10985,-0.083276,0.001323,-3.7e-05,0.067305
-3.15,0.095084,-0.072009,0.003149,-0.000168,0.053266
-3.05,0.081652,-0.061824,0.002269,-0.000203,0.040809
-2.95,0.064266,-0.048634,0.001703,-0.000161,0.030019
-2.85,0.049345,-0.037274,0.002533,-0.000252,0.020917
-2.75,0.033848,-0.025536,0.001998,-0.000258,0.013554
-2.65,0.017152,-0.012866,0.001836,-0.000248,0.007964
-2.55,0.001274,-0.000819,0.001853,-0.000284,0.004178
-2.45,0.015024,0.011512,0.001817,-0.000303,0.002227
-2.35,0.030509,0.023235,0.001501,-0.000299,0.002139
-2.25,0.047605,0.036168,0.001476,-0.000312,0.003933
-2.15,0.062685,0.047649,0.00191,-0.000362,0.007627
-2.05,0.077389,0.058773,0.000736,-0.000331,0.013194
-1.95,0.095116,0.072224,0.001195,-0.000359,0.020572
-1.85,0.107862,0.081978,0.001875,-0.000449,0.02968
-1.75,0.122399,0.092963,0.00044,-0.000344,0.040491
-1.65,0.139487,0.105977,0.001001,-0.000399,0.05294
-1.55,0.149625,0.113734,0.00133,-0.000524,0.067006
-1.45,0.164765,0.125198,0.000791,-0.000319,0.082663
-1.35,0.179135,0.136159,0.001047,-0.000439,0.099834
-1.25,0.187246,0.142358,0.000512,-0.000502,0.118509
-1.15,0.202626,0.154004,0.000731,-0.000294,0.138638
-1.05,0.211998,0.16121,0.001484,-0.000511,0.16006
-0.95,0.21936,0.16678,0.001785,-0.000458,0.182771
-0.85,0.234158,0.178011,0.000822,-0.000356,0.206765
-0.75,0.238194,0.181159,0.001628,-0.000651,0.231881
-0.65,0.245403,0.186524,0.003502,-0.000329,0.258076
-0.55,0.255905,0.194571,0.002848,-2.3e-05,0.285291
-0.45,0.253024,0.192381,0.002999,3.7e-05,0.313416
-0.35,0.257987,0.195991,0.009445,0.000763,0.342398
-0.25,0.262277,0.199373,0.00905,0.001023,0.372101
-0.15,0.256286,0.194811,0.010089,0.001062,0.402428
-0.05,0.262008,0.199008,0.014096,0.001752,0.43334
0.05,0.262022,0.199176,0.011813,0.001545,0.464692
0.15,0.257074,0.195314,0.013632,0.001509,0.496423
0.25,0.26518,0.201383,0.013308,0.001643,0.52855
0.35,0.261849,0.199113,0.009381,0.001272,0.560623
0.45,0.259048,0.196852,0.012482,0.001268,0.592324
0.55,0.263487,0.200183,0.010926,0.001296,0.624033
0.65,0.256319,0.194939,0.006768,0.000793,0.655556
0.75,0.254997,0.193751,0.009623,0.000806,0.686719
0.85,0.256985,0.195283,0.005526,0.000457,0.717405
0.95,0.246439,0.187408,0.002611,-6.8e-05,0.747506
1.05,0.243847,0.185315,0.004659,0.000124,0.776882
1.15,0.238159,0.181021,0.001547,-0.000112,0.805511
1.25,0.22428,0.170479,0.002387,-0.000232,0.833557
1.35,0.219161,0.166478,0.003302,6.1e-05,0.860599
1.45,0.20701,0.157311,0.001081,-0.00012,0.886449
1.55,0.193502,0.147003,0.003536,-8.6e-05,0.911173
1.65,0.186286,0.14146,0.002772,8.5e-05,0.934668
1.75,0.170116,0.129244,0.001004,-0.000155,0.956795
1.85,0.157213,0.119388,0.003852,0.000135,0.977544
1.95,0.146893,0.111531,0.002578,0.000128,0.99693
2.05,0.1291,0.097983,0.001525,2.9e-05,1.014473
2.15,0.116175,0.088103,0.003369,0.000173,1.030318
2.25,0.102574,0.077846,0.002229,0.000155,1.044678
2.35,0.08487,0.064362,0.001975,0.000125,1.057289
2.45,0.071105,0.053891,0.002536,0.000255,1.068048
2.55,0.055144,0.04179,0.001843,0.00018,1.077028
2.65,0.038132,0.028804,0.002037,0.000232,1.084071
2.75,0.02294,0.017317,0.002013,0.000257,1.089712
2.85,0.006416,0.004782,0.001747,0.000266,1.09366
2.95,0.009658,-0.007407,0.001578,0.000273,1.095555
3.05,0.026333,-0.020056,0.00166,0.000307,1.095461
3.15,0.041789,-0.0318,0.001865,0.000364,1.093235
3.25,0.057615,-0.043808,0.000833,0.000308,1.089309
3.35,0.074732,-0.056815,0.001412,0.000373,1.083533
3.45,0.088303,-0.067174,0.001651,0.000438,1.076059
3.55,0.104697,-0.079538,0.000349,0.000293,1.066551
3.65,0.120691,-0.09176,0.001216,0.000378,1.055248
3.75,0.132408,-0.100728,0.00086,0.000524,1.04261
3.85,0.149226,-0.113445,0.00032,0.000316,1.028327
3.95,0.161393,-0.122789,0.001512,0.000464,1.012662
4.05,0.172213,-0.130999,0.000808,0.000517,0.995239
4.15,0.188849,-0.143616,0.00047,0.000437,0.976082
4.25,0.196714,-0.149698,0.001726,0.000641,0.955809
4.35,0.207591,-0.157925,0.001972,0.000371,0.934253
4.45,0.222658,-0.169487,0.000599,0.000401,0.911275
4.55,0.226101,-0.172122,0.001031,0.000588,0.887049
4.65,0.237655,-0.180821,0.002654,0.000325,0.861861
4.75,0.249167,-0.189653,0.000787,0.000378,0.835776
4.85,0.249293,-0.189782,0.000658,0.00053,0.808755
4.95,0.261674,-0.199114,0.00218,0.00025,0.780971
5.05,0.267213,-0.203487,0.000444,0.000435,0.752415
5.15,0.264937,-0.201699,0.002544,0.000276,0.723091
5.25,0.27495,-0.209281,0.003166,-7.5e-05,0.693169
5.35,0.272373,-0.207486,0.001886,1.5e-05,0.662821
5.45,0.268905,-0.204676,0.007569,-0.00044,0.631986
5.55,0.274979,-0.209349,0.007048,-0.000704,0.600923
5.65,0.267224,-0.203544,0.006176,-0.000688,0.569671
5.75,0.264978,-0.201644,0.011754,-0.001188,0.538296
5.85,0.267217,-0.203415,0.00967,-0.001137,0.506914
5.95,0.258132,-0.196537,0.008598,-0.000865,0.475609
6.05,0.257727,-0.196146,0.011826,-0.001325,0.444737
6.15,0.255388,-0.19448,0.008862,-0.001075,0.41436
6.25,0.245366,-0.186797,0.009121,-0.000858,0.384395
6.35,0.245137,-0.186517,0.009612,-0.001092,0.35487
6.45,0.238298,-0.181404,0.005507,-0.000608,0.326025
6.55,0.229935,-0.174949,0.006818,-0.000391,0.29789
6.65,0.228146,-0.173597,0.004724,-0.000359,0.27048
6.75,0.215471,-0.164018,0.001148,0.000176,0.24398
6.85,0.205889,-0.156589,0.004259,-6.1e-05,0.218379
6.95,0.19893,-0.151358,0.002635,-6.5e-05,0.193862
7.05,0.181899,-0.138372,0.001387,0.000144,0.170535
7.15,0.171746,-0.130524,0.003989,-0.000154,0.148392
7.25,0.160797,-0.122261,0.002439,-8.4e-05,0.127548
7.35,0.142902,-0.108617,0.00215,0.0,0.108085
7.45,0.132288,-0.100475,0.003013,-0.00023,0.090055
7.55,0.117382,-0.089195,0.001826,-0.000117,0.07357
7.65,0.099877,-0.075821,0.002627,-0.00015,0.058646
7.75,0.087307,-0.066242,0.00235,-0.00022,0.04534
7.85,0.070473,-0.053464,0.001567,-0.000162,0.03373
7.95,0.053945,-0.040847,0.002469,-0.000242,0.023849
8.05,0.039129,-0.029593,0.002024,-0.000269,0.015745
8.15,0.022161,-0.0167,0.001725,-0.000242,0.009468
8.25,0.006025,-0.004433,0.001875,-0.000281,0.005038
8.35,0.01039,0.008019,0.001811,-0.000302,0.002494
8.45,0.026321,0.020105,0.001756,-0.00033,0.001863
8.55,0.042873,0.032645,0.001215,-0.000293,0.003162
8.65,0.059378,0.045201,0.001696,-0.000365,0.006416
8.75,0.073871,0.056187,0.001261,-0.000399,0.011594
8.85,0.09109,0.069278,0.000857,-0.00032,0.018655
8.95,0.10552,0.080288,0.001842,-0.000458,0.027498
9.05,0.119128,0.090597,0.000417,-0.000398,0.038081
9.15,0.13649,0.103823,0.0006,-0.000386,0.050393
9.25,0.147622,0.112339,0.001941,-0.000562,0.064341
9.35,0.161201,0.122585,0.001122,-0.000295,0.079898
9.45,0.17768,0.135172,0.000399,-0.000379,0.097063
9.55,0.185025,0.140793,0.00143,-0.000614,0.115713
9.65,0.19918,0.151433,0.001862,-0.000239,0.135834
9.75,0.212695,0.161825,0.000416,-0.00041,0.15731
9.85,0.21689,0.16497,0.000603,-0.000574,0.180093
9.95,0.231849,0.176311,0.001578,-0.000229,0.2042
